,tokens,ner_tags
0,[CLS],O
1,alice,B-PER
2,was,O
3,beginning,O
4,to,O
5,get,O
6,very,O
7,tired,O
8,of,O
9,sitting,O
10,by,O
11,her,O
12,sister,O
13,on,O
14,the,O
15,bank,O
16,",",O
17,and,O
18,of,O
19,having,O
20,nothing,O
21,to,O
22,do,O
23,:,O
24,once,O
25,or,O
26,twice,O
27,she,O
28,had,O
29,pee,O
30,##ped,O
31,into,O
32,the,O
33,book,O
34,her,O
35,sister,O
36,was,O
37,reading,O
38,",",O
39,but,O
40,it,O
41,had,O
42,no,O
43,pictures,O
44,or,O
45,conversations,O
46,in,O
47,it,O
48,",",O
49,‘,O
50,and,O
51,what,O
52,is,O
53,the,O
54,use,O
55,of,O
56,a,O
57,book,O
58,",",O
59,’,O
60,thought,O
61,alice,B-PER
62,‘,O
63,without,O
64,pictures,O
65,or,O
66,conversations,O
67,?,O
68,’,O
69,[SEP],O
70,[CLS],O
71,so,O
72,she,O
73,was,O
74,considering,O
75,in,O
76,her,O
77,own,O
78,mind,O
79,(,O
80,as,O
81,well,O
82,as,O
83,she,O
84,could,O
85,",",O
86,for,O
87,the,O
88,hot,O
89,day,O
90,made,O
91,her,O
92,feel,O
93,very,O
94,sleepy,O
95,and,O
96,stupid,O
97,),O
98,",",O
99,whether,O
100,the,O
101,pleasure,O
102,of,O
103,making,O
104,a,O
105,daisy,O
106,-,O
107,chain,O
108,would,O
109,be,O
110,worth,O
111,the,O
112,trouble,O
113,of,O
114,getting,O
115,up,O
116,and,O
117,picking,O
118,the,O
119,dai,O
120,##sies,O
121,",",O
122,when,O
123,suddenly,O
124,a,O
125,white,O
126,rabbit,O
127,with,O
128,pink,O
129,eyes,O
130,ran,O
131,close,O
132,by,O
133,her,O
134,.,O
135,[SEP],O
136,[CLS],O
137,there,O
138,was,O
139,nothing,O
140,so,O
141,very,O
142,remarkable,O
143,in,O
144,that,O
145,;,O
146,nor,O
147,did,O
148,alice,B-PER
149,think,O
150,it,O
151,so,O
152,very,O
153,much,O
154,out,O
155,of,O
156,the,O
157,way,O
158,to,O
159,hear,O
160,the,O
161,rabbit,O
162,say,O
163,to,O
164,itself,O
165,",",O
166,‘,O
167,oh,O
168,dear,O
169,!,O
170,oh,O
171,dear,O
172,!,O
173,i,O
174,shall,O
175,be,O
176,late,O
177,!,O
178,’,O
179,(,O
180,when,O
181,she,O
182,thought,O
183,it,O
184,over,O
185,afterwards,O
186,",",O
187,it,O
188,occurred,O
189,to,O
190,her,O
191,that,O
192,she,O
193,ought,O
194,to,O
195,have,O
196,wondered,O
197,at,O
198,this,O
199,",",O
200,but,O
201,at,O
202,the,O
203,time,O
204,it,O
205,all,O
206,seemed,O
207,quite,O
208,natural,O
209,),O
210,;,O
211,but,O
212,when,O
213,the,O
214,rabbit,O
215,actually,O
216,took,O
217,a,O
218,watch,O
219,out,O
220,of,O
221,its,O
222,waist,O
223,##coat,O
224,-,O
225,pocket,O
226,",",O
227,and,O
228,looked,O
229,at,O
230,it,O
231,",",O
232,and,O
233,then,O
234,hurried,O
235,on,O
236,",",O
237,alice,B-PER
238,started,O
239,to,O
240,her,O
241,feet,O
242,",",O
243,for,O
244,it,O
245,flashed,O
246,across,O
247,her,O
248,mind,O
249,that,O
250,she,O
251,had,O
252,never,O
253,before,O
254,seen,O
255,a,O
256,rabbit,O
257,with,O
258,either,O
259,a,O
260,waist,O
261,##coat,O
262,-,O
263,pocket,O
264,",",O
265,or,O
266,a,O
267,watch,O
268,to,O
269,take,O
270,out,O
271,of,O
272,it,O
273,",",O
274,and,O
275,burning,O
276,with,O
277,curiosity,O
278,",",O
279,she,O
280,ran,O
281,across,O
282,the,O
283,field,O
284,after,O
285,it,O
286,",",O
287,and,O
288,fortunately,O
289,was,O
290,just,O
291,in,O
292,time,O
293,to,O
294,see,O
295,it,O
296,pop,O
297,down,O
298,a,O
299,large,O
300,rabbit,O
301,-,O
302,hole,O
303,under,O
304,the,O
305,hedge,O
306,.,O
307,[SEP],O
308,[CLS],O
309,in,O
310,another,O
311,moment,O
312,down,O
313,went,O
314,alice,B-PER
315,after,O
316,it,O
317,",",O
318,never,O
319,once,O
320,considering,O
321,how,O
322,in,O
323,the,O
324,world,O
325,she,O
326,was,O
327,to,O
328,get,O
329,out,O
330,again,O
331,.,O
332,[SEP],O
333,[CLS],O
334,the,O
335,rabbit,O
336,-,O
337,hole,O
338,went,O
339,straight,O
340,on,O
341,like,O
342,a,O
343,tunnel,O
344,for,O
345,some,O
346,way,O
347,",",O
348,and,O
349,then,O
350,dipped,O
351,suddenly,O
352,down,O
353,",",O
354,so,O
355,suddenly,O
356,that,O
357,alice,B-PER
358,had,O
359,not,O
360,a,O
361,moment,O
362,to,O
363,think,O
364,about,O
365,stopping,O
366,herself,O
367,before,O
368,she,O
369,found,O
370,herself,O
371,falling,O
372,down,O
373,a,O
374,very,O
375,deep,O
376,well,O
377,.,O
378,[SEP],O
379,[CLS],O
380,either,O
381,the,O
382,well,O
383,was,O
384,very,O
385,deep,O
386,",",O
387,or,O
388,she,O
389,fell,O
390,very,O
391,slowly,O
392,",",O
